screen_name,tweets,tweet_location
LittleScoff,@dantecomms with a 94th minute away winner in the replay #groan,"West Sayville, NY"
LittleVikingsUK,Our lucky eldest Viking has been invited to have his birthday party @YorkCastle - we'll be reporting back! https://t.co/KxBnSyVYKi #yorkhour,"Westchester, NY"
Dave214_,I will literally put everything on God and give him all the credit . Negative and positive stuff .,"Williamsville, NY"
yuriscience,"@Fendrake @_tyrfing No, the antagonist is thirst","Woodstock, NY"
aphrodi_en,I should have obtained the power of the gods!,"Yonkers, NY"
hhughes0320,"@ZBierband YO ZBB, played our last seasonal gig at St. Jude.  Good times had by all.
Remember the more you drink, the better we sound!","Yorktown, NY"
acupunctureyuma,"This is not new news, it's been something holistic practitioners and nutritionists have been saying for years.... https://t.co/5Z12Ir4a7C","Woodstock, New York "
