screen_name,tweets,tweet_location
cloudpsi,Larry Ellison Kicks Off Oracle OpenWorld 2015 With Introduction of New Oracle Cloud Services and Ease-of-Use ... - https://t.co/5HMseA7Kdw,"Virginia Beach, VA"
favhouse,"#home #decor House Things Including Sofa, Ralph Lauren Home Furniture, Accent Table And Se‰Û_ https://t.co/1hVcn7wmvi https://t.co/tuUq0dQTaE","Virginia Beach, VA"
SextraBad,Don't you love the way the #penis and #vagina icons run on the board? https://t.co/0mErz4GP8L #spank #master #perv https://t.co/o8UvAub2ux,"Virginia Beach, VA. 23451"
GE0TEEN,and shit thats sucks not your word dont say. https://t.co/HVWVXzfXHh,"Williamsburg, VA"
GE0TEEN,you act like you cant pause and not say the word you dumb fuck https://t.co/HVWVXzfXHh,"Williamsburg, VA"
_laticfanatic,@Jimbo_Simpson Football is so much more than a result. Especially the game on Saturday. 500 mile round trip to see Henderson on his arse? _ÙÔ,"Williamsburg, VA"
byZayys,@xJMxBoboh yo i just threw up a tomahawk now get your lazy ass outside and catch it,"Winchester, VA"
praisecampers,"#PraiseCamp | Abuja Praise Party Set To Hold At The Bank, Abuja - November 22nd 2015 || @na... https://t.co/9r4AManHSC Via @praisecampers","Yorktown, VA"
