screen_name,tweets,tweet_location
cloudpsi,"The Cloud Grows Faster, And The Rich Get Richer - https://t.co/KBgTTSxYGL","visalia, california"
afrotiger_s,"""Don't brake your wrist trying to cook to this shit"" starring Johnny Stephens Co starring lil B and guy fieri","West Hollywood, CA"
Lucia1D_11,@ArianaGrande I LOVE YOU SO MUCH AND SOON IS MY BIRTHDAY,"Yucaipa, CA"
