screen_name,tweets,tweet_location
cityguyusa,Control the ammo don't control the guns. https://t.co/zK5ZtlBjTB,"Westminster, MD"
elysialauraa,im sure 99% of greggs staff have problems with knowing the difference between hot and cold,"White Plains, MD"
sianfreyaxo,@ItsLeeHinchy #LeesQANDA what's the story in balamory?,"White Plains, MD"
