screen_name,tweets,tweet_location
FinanzCashFlow,YBG_Anthony: A new way of looking #DMZ - Finding the way #TrendSetters  https://t.co/4nMSpMRiDC,"Washington Township, NJ"
topnewscenter,Matter: DNA of Ancient Children Offers Clues on How People Settled the Americas https://t.co/J94HuLUixu https://t.co/mUdLK95wzg,"Washington Township, NJ"
brianstokes92,@DanBaynes94 and Wishart trying to claim capital is laughable.,Westfield NJ
