screen_name,tweets,tweet_location
futuresagency,"Enjoy Gerd Leonhard`s Keynote ""Digital Ethics"" on SoundCloud https://t.co/iC4na4hgmX","Vernon Hills, IL"
MILLEonaire_,Next time don't honk stop the car and we can fight or you can come to my talons _Ù÷_,"Yorkville, IL"
MILLEonaire_,Bitches is so childish and I'm the right one to play with...,"Yorkville, IL"
JadeAtzert,Roxy and I feel the same way today https://t.co/sxXuW36mrW,"Yorkville, IL"
