screen_name,tweets,tweet_location
DoctorTweetz,"Not getting results with your twitter marketing? Get weekly following, auto tweets and more only $50wk! https://t.co/D9wdm4Tw1n",Waco TX
SonyMusicGlobal,"Pre-order @OldDominion‰Ûªs debut album #MeatandCandy now on @AppleMusic, featuring #BreakUpWithHim &amp; #Snapback! https://t.co/RdkM9lccZx",Waco TX
TheFootyPortal,FA Cup first round draw: Ryan Giggs and Gary Neville's Salford City host Notts County:  https://t.co/oNYdY7P4xV,"Waco, Tx"
sianfreyaxo,@ItsLeeHinchy #LeesQANDA what's the story in balamory?,"Whitehouse, TX"
rvpisarapist,@PhilCoutinhoes Hahaa it's cos I change all my settings in the first 15 and last 15. That's when I'm strongest_Ù÷,"Wylie, TX"
Nunuluquish,It's sad how it won't ever be the same between us.,"Wylie, TX"
DCProductionLTD,@FernhillAccount @RushmoorHour - its good to be busy! _Ù÷_ It's been a very busy day and the week ahead is packed!,"Weatherford,  Texas"
LeeLambchop,@HartleysRooms Hello :) we are discussing the favouite time of year. Whats yours &amp; why? https://t.co/e6BBHnOfWE‰Û_ #FBLikeHour,"Wichita Falls, Texas"
